sensor_id,time,temperature,pressure,humidity,gas_resistance,smell
1,1554646,31.372126,9.12586,37.783295,99090.382812,air
2,1554702,31.559429,9.128119,37.058441,104489.796875,air
3,1554756,31.68132,9.127883,36.799324,128967.257812,air
4,1554811,32.19944,9.130417,35.651245,104617.898438,air
5,1554867,31.879307,9.129182,36.216896,91330.71875,air
6,1554921,31.769968,9.12638,36.253765,81244.046875,air
7,1554976,31.582825,9.127486,36.275257,113904.335938,air
0,1557591,31.38415,9.126444,37.515186,120669.335938,air
1,1557647,31.372126,9.125735,37.777405,99494.75,air
2,1557701,31.561962,9.128302,37.058712,104234.53125,air
3,1557756,31.696493,9.127997,36.78347,128869.875,air
4,1557811,32.222134,9.130301,35.624485,105068.75,air
5,1557866,31.884359,9.128967,36.223301,90651.554688,air
6,1557921,31.807718,9.126364,36.205166,80935.820312,air
7,1557976,31.605801,9.127456,36.254257,114132.859375,air
0,1560591,31.394199,9.126397,37.539715,120754.71875,air
1,1560647,31.395039,9.125837,37.785755,99494.75,air
2,1560701,31.559429,9.128357,37.052563,104682.070312,air
3,1560756,31.704081,9.12811,36.761005,128675.546875,air
4,1560811,32.239784,9.130255,35.591389,104234.53125,air
5,1560866,31.884359,9.12921,36.205666,91330.71875,air
6,1560921,31.820301,9.126515,36.15395,80935.820312,air
7,1560977,31.605801,9.127651,36.230865,114362.296875,air
0,1563591,31.391687,9.126608,37.521854,120413.921875,air
1,1563646,31.400131,9.126197,37.768627,99032.882812,air
2,1563702,31.567028,9.128483,37.035732,104298.226562,air
3,1563757,31.724314,9.128371,36.774769,128000.0,air
4,1563811,32.270046,9.130447,35.577045,104362.007812,air
5,1563866,31.92477,9.129416,36.192249,91330.71875,air
6,1563922,31.847986,9.126822,36.127659,80629.921875,air
7,1563976,31.626225,9.127582,36.209602,114362.296875,air
0,1566591,31.404247,9.126739,37.523197,120584.078125,air
1,1566646,31.405222,9.12615,37.763283,98575.28125,air
2,1566701,31.567028,9.128284,37.059242,104362.007812,air
3,1566756,31.726841,9.128516,36.75177,128192.289062,air
4,1566811,32.275089,9.130667,35.560108,104810.648438,air
5,1566867,31.929821,9.129558,36.175137,91135.632812,air
6,1566921,31.855536,9.127127,36.093437,80629.921875,air
7,1566976,31.633884,9.127731,36.181171,113828.367188,air
0,1569591,31.411785,9.126955,37.500549,120840.21875,air
1,1569646,31.412861,9.12616,37.734661,99263.28125,air
2,1569701,31.579691,9.1285,37.042953,104170.90625,air
3,1569756,31.734426,9.128663,36.752571,128385.15625,air
4,1569811,32.282654,9.130813,35.543434,105004.101562,air
5,1569867,31.937399,9.129619,36.158302,91038.40625,air
6,1569921,31.863087,9.126941,36.070892,80553.804688,air
7,1569976,31.649204,9.127995,36.18861,113980.40625,air
0,1572591,31.416809,9.126836,37.50695,120498.9375,air
1,1572646,31.415405,9.126198,37.717266,99378.882812,air
2,1572702,31.577158,9.128572,37.030937,104170.90625,air
3,1572756,31.734426,9.128468,36.758385,128000.0,air
4,1572811,32.282654,9.130795,35.520168,105004.101562,air
5,1572866,31.939922,9.129688,36.135056,91135.632812,air
6,1572921,31.865601,9.127049,36.030331,81244.046875,air
7,1572976,31.641544,9.127862,36.152737,113601.0625,air
0,1575591,31.424347,9.126788,37.478439,120925.835938,air
1,1575647,31.41795,9.126289,37.723431,98689.28125,air
2,1575701,31.584757,9.128774,37.002357,104810.648438,air
3,1575756,31.731899,9.128644,36.717411,128481.804688,air
4,1575811,32.270046,9.130952,35.507244,105133.46875,air
5,1575866,31.944977,9.129962,36.123829,90941.382812,air
6,1575921,31.880701,9.127169,36.031895,80706.179688,air
7,1575976,31.65686,9.128036,36.136795,113525.5,air
0,1578591,31.424347,9.12668,37.466713,120584.078125,air
1,1578646,31.440863,9.126179,37.690559,99436.78125,air
2,1578701,31.597422,9.128592,37.009579,104617.898438,air
3,1578756,31.742014,9.128703,36.712662,128288.648438,air
4,1578811,32.277611,9.130631,35.502205,104810.648438,air
5,1578866,31.9475,9.129619,36.124096,91330.71875,air
6,1578921,31.898319,9.127273,36.00457,80859.125,air
7,1578976,31.667074,9.127923,36.155392,113904.335938,air
0,1581591,31.416809,9.126536,37.454189,121011.578125,air
1,1581646,31.423044,9.126102,37.676868,98746.382812,air
2,1581701,31.594889,9.128464,37.009304,104682.070312,air
3,1581756,31.72937,9.128411,36.705513,128481.804688,air
4,1581811,32.285179,9.130581,35.508801,105068.75,air
5,1581866,31.955078,9.129512,36.101379,91330.71875,air
6,1581921,31.915936,9.127114,35.99474,80782.578125,air
7,1581976,31.697708,9.127988,36.117661,113980.40625,air
0,1584591,31.431885,9.126898,37.444077,121011.578125,air
1,1584646,31.41795,9.125972,37.64101,99205.578125,air
2,1584701,31.599955,9.128518,36.998093,104617.898438,air
3,1584756,31.75466,9.128463,36.696548,128481.804688,air
4,1584812,32.312916,9.130341,35.470943,105328.125,air
5,1584866,31.975285,9.129588,36.09761,91330.71875,air
6,1584921,31.936069,9.126802,35.956017,80553.804688,air
7,1584976,31.707922,9.127661,36.083664,113676.734375,air
0,1587591,31.424347,9.126628,37.443268,120498.9375,air
1,1587646,31.425589,9.126195,37.677151,99147.945312,air
2,1587701,31.602484,9.128536,36.957237,104107.359375,air
3,1587756,31.757187,9.128516,36.679379,128578.601562,air
4,1587811,32.32048,9.130398,35.460091,104489.796875,air
5,1587866,31.980337,9.129427,36.068771,90844.570312,air
6,1587921,31.951168,9.127007,35.92844,80629.921875,air
7,1587976,31.728344,9.127841,36.062412,113601.0625,air
0,1590591,31.434397,9.126689,37.432625,120840.21875,air
1,1590646,31.443409,9.126022,37.667286,99032.882812,air
2,1590701,31.605017,9.128591,36.980999,104425.859375,air
3,1590757,31.75466,9.12857,36.690735,128288.648438,air
4,1590811,32.307873,9.130698,35.441353,104489.796875,air
5,1590866,31.97781,9.129545,36.045013,91135.632812,air
6,1590921,31.953686,9.127204,35.911221,80477.835938,air
7,1590976,31.7309,9.127949,36.033466,113980.40625,air
0,1593591,31.441935,9.126781,37.421703,120754.71875,air
1,1593646,31.440863,9.126126,37.678783,99147.945312,air
2,1593701,31.610083,9.128518,36.975666,104425.859375,air
3,1593756,31.752131,9.128371,36.684662,129064.78125,air
4,1593812,32.312916,9.130556,35.441872,104553.804688,air
5,1593866,31.982861,9.129479,36.039665,91330.71875,air
6,1593921,31.94865,9.126724,35.893215,80859.125,air
7,1593976,31.73345,9.127846,36.010372,113676.734375,air
0,1596591,31.451984,9.126543,37.428638,120669.335938,air
1,1596646,31.453592,9.125826,37.650723,99205.578125,air
2,1596701,31.615149,9.128174,36.958576,104617.898438,air
3,1596757,31.767303,9.12822,36.657192,128772.632812,air
4,1596811,32.323002,9.130238,35.419651,104617.898438,air
5,1596866,31.990438,9.129373,36.01696,91428.570312,air
6,1596921,31.936069,9.126696,35.874432,80782.578125,air
7,1596976,31.725794,9.127696,35.992054,114132.859375,air
0,1599591,31.459522,9.126494,37.400139,120244.25,air
1,1599646,31.471415,9.12576,37.629086,99263.28125,air
2,1599701,31.620214,9.128247,36.964989,103980.5,air
3,1599756,31.779947,9.127852,36.652706,128772.632812,air
4,1599811,32.335609,9.130064,35.39188,104553.804688,air
5,1599866,31.987915,9.129132,35.999084,91038.40625,air
6,1599921,31.926001,9.12665,35.86174,81089.640625,air
7,1599976,31.697708,9.127598,35.959949,113676.734375,air
0,1602591,31.444447,9.12622,37.392677,120498.9375,air
1,1602646,31.463776,9.125628,37.58707,98689.28125,air
2,1602701,31.605017,9.127973,36.93401,104617.898438,air
3,1602757,31.767303,9.127917,36.622318,128967.257812,air
4,1602811,32.312916,9.129712,35.37212,105198.273438,air
5,1602866,31.980337,9.129015,35.986557,91233.070312,air
6,1602921,31.875668,9.126447,35.844883,80629.921875,air
7,1602976,31.66452,9.127316,35.974041,114438.984375,air
0,1605591,31.444447,9.126308,37.36924,120584.078125,air
1,1605646,31.440863,9.125545,37.596382,98975.453125,air
2,1605702,31.602484,9.127883,36.933746,104425.859375,air
3,1605756,31.744543,9.127795,36.625736,128481.804688,air
4,1605811,32.292744,9.129793,35.370049,104810.648438,air
5,1605866,31.965183,9.128705,35.996727,91428.570312,air
6,1605921,31.830368,9.126211,35.87516,80629.921875,air
7,1605976,31.638988,9.127131,35.97723,113752.5,air
0,1608591,31.446957,9.1261,37.381222,120840.21875,air
1,1608646,31.435772,9.12538,37.607605,98461.539062,air
2,1608701,31.605017,9.12781,36.92226,104875.054688,air
3,1608757,31.739487,9.127721,36.642635,128869.875,air
4,1608811,32.285179,9.129988,35.369282,104425.859375,air
5,1608866,31.965183,9.129156,36.014343,91038.40625,air
6,1608921,31.815268,9.126493,35.914371,80859.125,air
7,1608977,31.646648,9.127299,36.024734,113224.234375,air
0,1611591,31.439423,9.12597,37.374557,120329.023438,air
1,1611646,31.440863,9.125403,37.608154,98918.085938,air
2,1611701,31.599955,9.127811,36.927605,104489.796875,air
3,1611756,31.757187,9.127679,36.644501,128578.601562,air
4,1611811,32.307873,9.129836,35.400661,104939.539062,air
5,1611866,31.967707,9.128889,35.996983,91330.71875,air
6,1611921,31.81275,9.126228,35.94907,80477.835938,air
7,1611977,31.646648,9.127069,36.024734,113299.40625,air
0,1614591,31.444447,9.126044,37.375095,120584.078125,air
1,1614646,31.453592,9.125226,37.609524,98803.546875,air
2,1614702,31.602484,9.127666,36.945492,104107.359375,air
3,1614756,31.762247,9.12754,36.645027,128869.875,air
4,1614811,32.285179,9.129539,35.398338,104682.070312,air
5,1614867,31.965183,9.128761,36.008472,91135.632812,air
6,1614921,31.75235,9.12596,35.983608,80477.835938,air
7,1614976,31.600697,9.127095,36.049179,114362.296875,air
0,1617591,31.462032,9.125897,37.376972,120584.078125,air
1,1617646,31.476505,9.125521,37.594322,98860.78125,air
2,1617701,31.622747,9.127757,36.912395,104107.359375,air
3,1617756,31.769833,9.127776,36.645832,128481.804688,air
4,1617811,32.254917,9.129669,35.395233,104939.539062,air
5,1617866,31.937399,9.128736,36.017326,91233.070312,air
6,1617921,31.681885,9.125928,36.034599,80629.921875,air
7,1617976,31.554743,9.126998,36.061932,113450.03125,air
0,1620591,31.474594,9.125817,37.372452,120244.25,air
1,1620647,31.476505,9.125257,37.588436,98575.28125,air
2,1620701,31.627813,9.127792,36.9188,104107.359375,air
3,1620756,31.767303,9.127791,36.639755,128481.804688,air
4,1620811,32.227177,9.129638,35.433071,104810.648438,air
5,1620866,31.927296,9.128736,36.016273,90844.570312,air
6,1620921,31.631552,9.125862,36.105171,80706.179688,air
7,1620976,31.521551,9.127018,36.122749,113450.03125,air
0,1623591,31.47962,9.126156,37.367126,119486.578125,air
1,1623646,31.494328,9.125562,37.584461,98404.765625,air
2,1623701,31.627813,9.128064,36.93642,103790.796875,air
3,1623756,31.774891,9.127831,36.628925,127617.148438,air
4,1623811,32.23222,9.129892,35.480095,104682.070312,air
5,1623867,31.917194,9.128867,36.044586,90941.382812,air
6,1623921,31.659235,9.126169,36.183872,80402.007812,air
7,1623976,31.521551,9.127107,36.181187,113224.234375,air
0,1626591,31.477106,9.125978,37.355145,119990.625,air
1,1626646,31.489233,9.125413,37.57803,98009.1875,air
2,1626701,31.63541,9.128047,36.931351,103727.710938,air
